readers,writers,bsize,size,throughput,latency,ratio
7,1,64,16384,2382,2273,0.00390625
7,1,32,16384,2487,2285,0.001953125
7,1,16,16384,2529,2664,0.0009765625
7,1,8,16384,2221,2536,0.00048828125
7,1,4,16384,2374,2711,0.000244140625
7,1,2,16384,2567,2400,0.0001220703125
7,1,32768,32768,53089,28389,1
7,1,16384,32768,31505,5955,0.5
7,1,8192,32768,11055,3644,0.25
7,1,4096,32768,3102,3881,0.125
7,1,2048,32768,3059,3530,0.0625
7,1,1024,32768,2264,4379,0.03125
7,1,512,32768,2730,3248,0.015625
7,1,256,32768,2415,2913,0.0078125
7,1,128,32768,2278,2628,0.00390625
7,1,64,32768,2790,2446,0.001953125
7,1,32,32768,2958,2473,0.0009765625
7,1,16,32768,2570,2161,0.00048828125
7,1,8,32768,2545,2586,0.000244140625
7,1,4,32768,2430,2386,0.0001220703125
7,1,65536,65536,128702,26567,1
7,1,32768,65536,14178,6178,0.5
7,1,16384,65536,11416,9108,0.25
7,1,8192,65536,1977,2353,0.125
7,1,4096,65536,2270,2963,0.0625
7,1,2048,65536,2671,2861,0.03125
7,1,1024,65536,2503,2401,0.015625
7,1,512,65536,2397,3267,0.0078125
7,1,256,65536,2021,2706,0.00390625
7,1,128,65536,2396,2364,0.001953125
7,1,64,65536,2186,2618,0.0009765625
7,1,32,65536,2229,2644,0.00048828125
7,1,16,65536,2800,2428,0.000244140625
7,1,8,65536,2217,2699,0.0001220703125
